session_id,utm_source,utm_medium,utm_campaign,landing_page,session_start
sess_001,google,cpc,egg_freezing_q4,/egg-freezing,2024-09-02 10:14:00 UTC
sess_002,meta,cpc,sm_awareness_sep,/become-a-donor,2024-09-03 11:30:00 UTC
sess_003,,,,/egg-freezing,2024-09-04 09:00:00 UTC
sess_004,google,cpc,egg_freezing_q4,/egg-freezing,2024-09-05 14:22:00 UTC
sess_005,,,,/become-a-donor,2024-09-06 08:45:00 UTC
sess_006,email,email,sep_nurture_ip,/egg-freezing,2024-09-08 17:00:00 UTC
sess_007,google,cpc,egg_freezing_q4,/egg-freezing,2024-09-10 13:10:00 UTC
sess_008,,,,/about,2024-09-11 10:00:00 UTC
sess_009,referral,referral,resolve,/egg-freezing,2024-09-12 15:30:00 UTC
sess_010,meta,cpc,sm_awareness_sep,/become-a-donor,2024-09-14 12:00:00 UTC
sess_011,,,,/egg-freezing,2024-09-15 09:30:00 UTC
sess_012,google,cpc,egg_freezing_q4,/egg-freezing,2024-09-17 11:45:00 UTC
sess_013,email,email,sep_nurture_sm,/become-a-donor,2024-09-18 14:00:00 UTC
sess_014,,,,/how-it-works,2024-09-20 16:00:00 UTC
sess_015,google,cpc,egg_freezing_q4,/egg-freezing,2024-09-22 10:30:00 UTC
sess_016,,,,/become-a-donor,2024-09-23 09:15:00 UTC
sess_017,meta,cpc,sm_awareness_sep,/become-a-donor,2024-09-25 13:00:00 UTC
sess_018,email,email,sep_nurture_ip,/egg-freezing,2024-09-27 15:30:00 UTC
sess_019,google,cpc,egg_freezing_q4,/egg-freezing,2024-09-28 11:00:00 UTC
sess_020,,,,/about,2024-09-29 08:30:00 UTC
sess_021,google,cpc,egg_freezing_q4,/egg-freezing,2024-10-01 10:00:00 UTC
sess_022,meta,cpc,sm_awareness_oct,/become-a-donor,2024-10-02 11:30:00 UTC
sess_023,,,,/egg-freezing,2024-10-03 09:45:00 UTC
sess_024,google,cpc,egg-freezing-q4,/egg-freezing,2024-10-05 14:00:00 UTC
sess_025,email,email,oct_nurture_ip,/egg-freezing,2024-10-07 16:00:00 UTC
sess_026,,,,/become-a-donor,2024-10-08 09:00:00 UTC
sess_027,meta,cpc,sm_awareness_oct,/become-a-donor,2024-10-10 13:00:00 UTC
sess_028,google,cpc,egg-freezing-q4,/egg-freezing,2024-10-12 10:15:00 UTC
sess_029,,,,/how-it-works,2024-10-13 08:30:00 UTC
sess_030,referral,referral,healthline,/egg-freezing,2024-10-15 14:30:00 UTC
sess_031,google,cpc,EggFreezingQ4,/egg-freezing,2024-10-17 11:00:00 UTC
sess_032,,,,/about,2024-10-18 10:00:00 UTC
sess_033,email,email,oct_nurture_sm,/become-a-donor,2024-10-20 15:00:00 UTC
sess_034,meta,cpc,sm_awareness_oct,/become-a-donor,2024-10-22 12:00:00 UTC
sess_035,,,,/egg-freezing,2024-10-24 09:30:00 UTC
sess_036,google,cpc,EggFreezingQ4,/egg-freezing,2024-10-25 14:00:00 UTC
sess_037,email,email,oct_nurture_ip,/egg-freezing,2024-10-27 16:30:00 UTC
sess_038,,,,/become-a-donor,2024-10-28 08:00:00 UTC
sess_039,google,cpc,EggFreezingQ4,/egg-freezing,2024-10-29 10:45:00 UTC
sess_040,,,,/about,2024-10-30 11:00:00 UTC
sess_041,google,cpc,egg_freezing_q4,/egg-freezing,2024-11-01 09:00:00 UTC
sess_042,meta,cpc,sm_awareness_nov,/become-a-donor,2024-11-03 11:00:00 UTC
sess_043,,,,/egg-freezing,2024-11-04 08:30:00 UTC
sess_044,email,email,nov_nurture_ip,/egg-freezing,2024-11-05 14:00:00 UTC
sess_045,google,cpc,egg_freezing_q4,/egg-freezing,2024-11-06 10:30:00 UTC
sess_046,,,,/how-it-works,2024-11-07 09:15:00 UTC
sess_047,referral,referral,fertility_iq,/egg-freezing,2024-11-08 13:00:00 UTC
sess_048,meta,cpc,sm_awareness_nov,/become-a-donor,2024-11-10 15:00:00 UTC
sess_049,,,,/become-a-donor,2024-11-11 08:00:00 UTC
sess_050,google,cpc,egg_freezing_q4,/egg-freezing,2024-11-12 11:30:00 UTC
sess_051,email,email,nov_nurture_sm,/become-a-donor,2024-11-13 14:00:00 UTC
sess_052,,,,/about,2024-11-14 10:00:00 UTC
sess_053,google,cpc,egg_freezing_q4,/egg-freezing,2024-11-15 09:45:00 UTC
sess_054,meta,cpc,sm_awareness_nov,/become-a-donor,2024-11-18 12:30:00 UTC
sess_055,,,,/egg-freezing,2024-11-19 08:15:00 UTC
sess_056,google,cpc,egg_freezing_q4,/egg-freezing,2024-11-20 13:00:00 UTC
sess_057,email,email,nov_nurture_ip,/egg-freezing,2024-11-21 15:30:00 UTC
sess_058,,,,/become-a-donor,2024-11-22 09:00:00 UTC
sess_059,google,cpc,egg_freezing_q4,/egg-freezing,2024-11-25 10:00:00 UTC
sess_060,,,,/about,2024-11-26 11:00:00 UTC
sess_061,google,cpc,egg_freezing_eoy,/egg-freezing,2024-12-01 09:30:00 UTC
sess_062,meta,cpc,sm_awareness_dec,/become-a-donor,2024-12-02 11:00:00 UTC
sess_063,,,,/egg-freezing,2024-12-03 08:00:00 UTC
sess_064,email,email,dec_nurture_ip,/egg-freezing,2024-12-04 14:00:00 UTC
sess_065,google,cpc,egg_freezing_eoy,/egg-freezing,2024-12-05 10:00:00 UTC
sess_066,,,,/how-it-works,2024-12-06 09:00:00 UTC
sess_067,meta,cpc,sm_awareness_dec,/become-a-donor,2024-12-08 13:30:00 UTC
sess_068,referral,referral,resolve,/egg-freezing,2024-12-09 15:00:00 UTC
sess_069,,,,/become-a-donor,2024-12-10 08:30:00 UTC
sess_070,google,cpc,egg_freezing_eoy,/egg-freezing,2024-12-11 11:00:00 UTC
sess_071,email,email,dec_nurture_sm,/become-a-donor,2024-12-12 14:30:00 UTC
sess_072,,,,/about,2024-12-13 10:00:00 UTC
sess_073,google,cpc,egg_freezing_eoy,/egg-freezing,2024-12-15 09:15:00 UTC
sess_074,meta,cpc,sm_awareness_dec,/become-a-donor,2024-12-16 12:00:00 UTC
sess_075,,,,/egg-freezing,2024-12-17 08:45:00 UTC
sess_076,google,cpc,egg_freezing_eoy,/egg-freezing,2024-12-18 13:00:00 UTC
sess_077,email,email,dec_nurture_ip,/egg-freezing,2024-12-19 15:00:00 UTC
sess_078,,,,/become-a-donor,2024-12-20 09:30:00 UTC
sess_079,google,cpc,egg_freezing_eoy,/egg-freezing,2024-12-22 10:00:00 UTC
sess_080,,,,/about,2024-12-23 11:30:00 UTC
sess_081,google,cpc,new_year_ip,/egg-freezing,2025-01-02 09:00:00 UTC
sess_082,meta,cpc,new_year_sm,/become-a-donor,2025-01-03 10:30:00 UTC
sess_083,,,,/egg-freezing,2025-01-04 08:15:00 UTC
sess_084,email,email,jan_nurture_ip,/egg-freezing,2025-01-05 14:00:00 UTC
sess_085,google,cpc,new_year_ip,/egg-freezing,2025-01-06 10:00:00 UTC
sess_086,,,,/how-it-works,2025-01-07 09:00:00 UTC
sess_087,meta,cpc,new_year_sm,/become-a-donor,2025-01-08 13:00:00 UTC
sess_088,referral,referral,healthline,/egg-freezing,2025-01-09 15:30:00 UTC
sess_089,,,,/become-a-donor,2025-01-10 08:30:00 UTC
sess_090,google,cpc,new_year_ip,/egg-freezing,2025-01-12 11:00:00 UTC
sess_091,email,email,jan_nurture_sm,/become-a-donor,2025-01-13 14:00:00 UTC
sess_092,,,,/about,2025-01-14 10:00:00 UTC
sess_093,google,cpc,new_year_ip,/egg-freezing,2025-01-15 09:30:00 UTC
sess_094,meta,cpc,new_year_sm,/become-a-donor,2025-01-17 12:00:00 UTC
sess_095,,,,/egg-freezing,2025-01-19 08:00:00 UTC
sess_096,google,cpc,new_year_ip,/egg-freezing,2025-01-20 13:00:00 UTC
sess_097,email,email,jan_nurture_ip,/egg-freezing,2025-01-21 15:00:00 UTC
sess_098,,,,/become-a-donor,2025-01-22 09:00:00 UTC
sess_099,google,cpc,new_year_ip,/egg-freezing,2025-01-24 10:00:00 UTC
sess_100,,,,/about,2025-01-25 11:00:00 UTC
sess_101,google,cpc,valentines_ip,/egg-freezing,2025-02-01 09:15:00 UTC
sess_102,meta,cpc,valentines_sm,/become-a-donor,2025-02-02 10:30:00 UTC
sess_103,,,,/egg-freezing,2025-02-03 08:00:00 UTC
sess_104,email,email,feb_nurture_ip,/egg-freezing,2025-02-04 14:00:00 UTC
sess_105,google,cpc,valentines_ip,/egg-freezing,2025-02-05 10:00:00 UTC
sess_106,,,,/how-it-works,2025-02-06 09:00:00 UTC
sess_107,meta,cpc,valentines_sm,/become-a-donor,2025-02-07 13:00:00 UTC
sess_108,referral,referral,fertility_iq,/egg-freezing,2025-02-08 15:00:00 UTC
sess_109,,,,/become-a-donor,2025-02-09 08:30:00 UTC
sess_110,google,cpc,valentines_ip,/egg-freezing,2025-02-10 11:00:00 UTC
sess_111,email,email,feb_nurture_sm,/become-a-donor,2025-02-11 14:00:00 UTC
sess_112,,,,/about,2025-02-12 10:00:00 UTC
sess_113,google,cpc,valentines_ip,/egg-freezing,2025-02-13 09:30:00 UTC
sess_114,meta,cpc,valentines_sm,/become-a-donor,2025-02-14 12:00:00 UTC
sess_115,,,,/egg-freezing,2025-02-16 08:15:00 UTC
sess_116,google,cpc,valentines_ip,/egg-freezing,2025-02-17 13:00:00 UTC
sess_117,email,email,feb_nurture_ip,/egg-freezing,2025-02-18 15:00:00 UTC
sess_118,,,,/become-a-donor,2025-02-19 09:00:00 UTC
sess_119,google,cpc,valentines_ip,/egg-freezing,2025-02-21 10:00:00 UTC
sess_120,,,,/about,2025-02-22 11:00:00 UTC
